ants,alpha,beta,rho,max_iter,found_length,gap_%,convergence_iter
10,0.5,3.0,0.3,1000,3323.0,0.0,779
10,0.5,5.0,0.1,1000,3323.0,0.0,260
10,0.5,5.0,0.3,1000,3323.0,0.0,743
10,0.5,1.0,0.3,1000,3323.0,0.0,591
10,0.5,3.0,0.5,1000,3323.0,0.0,64
10,0.5,3.0,0.1,1000,3323.0,0.0,237
10,1.0,1.0,0.3,1000,3323.0,0.0,159
10,1.0,1.0,0.5,1000,3323.0,0.0,221
10,1.0,1.0,0.1,1000,3323.0,0.0,650
10,0.5,5.0,0.5,1000,3323.0,0.0,243
10,1.0,3.0,0.5,1000,3323.0,0.0,212
10,1.0,3.0,0.3,1000,3323.0,0.0,77
10,1.0,3.0,0.1,1000,3323.0,0.0,132
10,1.0,5.0,0.1,1000,3323.0,0.0,683
10,1.0,5.0,0.3,1000,3323.0,0.0,414
20,0.5,3.0,0.1,1000,3323.0,0.0,98
20,0.5,3.0,0.3,1000,3323.0,0.0,570
20,0.5,3.0,0.5,1000,3323.0,0.0,118
20,1.0,1.0,0.1,1000,3323.0,0.0,430
20,0.5,5.0,0.5,1000,3323.0,0.0,287
20,1.0,1.0,0.3,1000,3323.0,0.0,83
20,1.0,1.0,0.5,1000,3323.0,0.0,229
20,1.0,3.0,0.1,1000,3323.0,0.0,258
20,1.0,3.0,0.5,1000,3323.0,0.0,198
20,1.0,3.0,0.3,1000,3323.0,0.0,134
20,1.0,5.0,0.1,1000,3323.0,0.0,266
20,1.0,5.0,0.3,1000,3323.0,0.0,184
20,1.0,5.0,0.5,1000,3323.0,0.0,74
20,1.5,5.0,0.1,1000,3323.0,0.0,507
20,1.5,5.0,0.5,1000,3323.0,0.0,249
30,0.5,3.0,0.1,1000,3323.0,0.0,173
30,0.5,3.0,0.5,1000,3323.0,0.0,514
30,0.5,5.0,0.3,1000,3323.0,0.0,103
30,0.5,5.0,0.5,1000,3323.0,0.0,526
30,1.0,1.0,0.1,1000,3323.0,0.0,269
30,1.0,1.0,0.5,1000,3323.0,0.0,79
30,1.0,1.0,0.3,1000,3323.0,0.0,386
30,1.0,3.0,0.1,1000,3323.0,0.0,152
30,1.0,3.0,0.3,1000,3323.0,0.0,71
30,1.0,3.0,0.5,1000,3323.0,0.0,67
30,1.0,5.0,0.1,1000,3323.0,0.0,376
30,1.0,5.0,0.3,1000,3323.0,0.0,55
30,1.0,5.0,0.5,1000,3323.0,0.0,289
30,1.5,1.0,0.1,1000,3323.0,0.0,93
30,1.5,3.0,0.1,1000,3323.0,0.0,88
30,1.5,5.0,0.1,1000,3323.0,0.0,660
30,1.5,5.0,0.3,1000,3323.0,0.0,585
30,1.5,5.0,0.5,1000,3323.0,0.0,148
10,0.5,1.0,0.5,1000,3336.0,0.39121275955461937,307
10,1.5,3.0,0.1,1000,3336.0,0.39121275955461937,7
10,1.5,5.0,0.1,1000,3336.0,0.39121275955461937,474
10,1.5,5.0,0.3,1000,3336.0,0.39121275955461937,470
20,0.5,1.0,0.1,1000,3336.0,0.39121275955461937,96
20,0.5,5.0,0.3,1000,3336.0,0.39121275955461937,198
20,1.5,1.0,0.1,1000,3336.0,0.39121275955461937,100
20,1.5,1.0,0.5,1000,3336.0,0.39121275955461937,19
20,1.5,3.0,0.1,1000,3336.0,0.39121275955461937,89
20,1.5,3.0,0.5,1000,3336.0,0.39121275955461937,16
20,1.5,5.0,0.3,1000,3336.0,0.39121275955461937,17
30,0.5,1.0,0.3,1000,3336.0,0.39121275955461937,726
30,0.5,3.0,0.3,1000,3336.0,0.39121275955461937,420
30,0.5,5.0,0.1,1000,3336.0,0.39121275955461937,123
30,1.5,1.0,0.5,1000,3336.0,0.39121275955461937,18
30,1.5,3.0,0.3,1000,3336.0,0.39121275955461937,26
30,1.5,3.0,0.5,1000,3336.0,0.39121275955461937,16
10,1.5,1.0,0.1,1000,3346.0,0.6921456515197111,132
10,1.5,5.0,0.5,1000,3346.0,0.6921456515197111,741
20,0.5,5.0,0.1,1000,3346.0,0.6921456515197111,498
10,1.0,5.0,0.5,1000,3359.0,1.0833584110743304,522
10,1.5,3.0,0.5,1000,3359.0,1.0833584110743304,175
30,0.5,1.0,0.5,1000,3359.0,1.0833584110743304,518
10,1.5,3.0,0.3,1000,3381.0,1.7454107733975326,236
20,0.5,1.0,0.3,1000,3381.0,1.7454107733975326,511
20,1.5,3.0,0.3,1000,3381.0,1.7454107733975326,23
30,0.5,1.0,0.1,1000,3388.0,1.9560637977730964,936
30,1.5,1.0,0.3,1000,3388.0,1.9560637977730964,35
10,0.5,1.0,0.1,1000,3403.0,2.407463135720734,311
20,0.5,1.0,0.5,1000,3413.0,2.708396027685826,919
10,1.5,1.0,0.3,1000,3438.0,3.4607282575985554,32
20,1.5,1.0,0.3,1000,3496.0,5.206139030996088,83
10,1.5,1.0,0.5,1000,3656.0,10.021065302437556,24
